"SMART LATHE EXPORT"

"Dashboards","machine"
"Parameters","rpm"

"timestamp","rpm"
"2026-06-13 05:37:16.656204","0.0"
"2026-06-13 05:37:25.748042","0.0"
"2026-06-13 05:37:34.892485","0.0"
"2026-06-13 05:37:44.970221","0.0"
"2026-06-13 05:37:54.056399","0.0"
"2026-06-13 05:38:03.138336","0.0"
"2026-06-13 05:38:12.236113","0.0"
"2026-06-13 05:38:21.322436","0.0"
"2026-06-13 05:38:30.401414","0.0"
"2026-06-13 05:38:39.470751","0.0"
"2026-06-13 05:38:48.573089","0.0"
"2026-06-13 05:38:57.643423","0.0"
"2026-06-13 05:39:06.742533","0.0"
"2026-06-13 05:39:15.924832","0.0"
"2026-06-13 05:39:25.003231","0.0"
"2026-06-13 05:39:34.129795","0.0"
"2026-06-13 05:39:43.213919","0.0"
"2026-06-13 05:39:52.326786","0.0"
"2026-06-13 05:40:01.441515","0.0"
"2026-06-13 05:40:10.570950","0.0"
"2026-06-13 05:40:19.654177","0.0"
"2026-06-13 05:40:28.735930","0.0"
"2026-06-13 05:40:37.914303","0.0"
"2026-06-13 05:40:47.027190","0.0"
"2026-06-13 05:40:56.142614","0.0"
"2026-06-13 05:41:05.227930","0.0"
"2026-06-13 05:41:14.293352","0.0"
"2026-06-13 05:41:23.384570","0.0"
"2026-06-13 05:41:32.493822","0.0"
"2026-06-13 05:41:41.581946","0.0"
"2026-06-13 05:41:50.670630","0.0"
"2026-06-13 05:41:59.844526","0.0"
"2026-06-13 05:42:09.953861","0.0"
"2026-06-13 05:42:19.005607","0.0"
"2026-06-13 05:42:28.070872","0.0"
"2026-06-13 05:42:37.140783","0.0"
"2026-06-13 05:42:46.190544","0.0"
"2026-06-13 05:42:55.262230","0.0"
"2026-06-13 05:43:04.325198","0.0"
"2026-06-13 05:43:13.389554","0.0"
"2026-06-13 05:43:22.467004","0.0"
"2026-06-13 05:43:31.513451","0.0"
"2026-06-13 05:43:40.581879","0.0"
"2026-06-13 05:43:49.656612","0.0"
"2026-06-13 05:43:58.731613","0.0"
"2026-06-13 05:44:07.909886","0.0"
"2026-06-13 05:44:16.988297","0.0"
"2026-06-13 05:44:26.070378","0.0"
"2026-06-13 05:44:35.169819","0.0"
"2026-06-13 05:44:44.299305","0.0"
"2026-06-13 05:44:53.351628","0.0"
"2026-06-13 05:45:02.388800","0.0"
"2026-06-13 05:45:11.439813","0.0"
"2026-06-13 05:45:20.495424","0.0"
"2026-06-13 05:45:29.534441","0.0"
"2026-06-13 05:45:38.609837","0.0"
"2026-06-13 05:45:47.689109","0.0"
"2026-06-13 05:45:56.831839","0.0"
"2026-06-13 05:46:06.899318","0.0"
